label,phase,model_id,params_total,weight_gb,vram_gb,tok_per_sec,in_domain,out_of_domain,notes,date
B1_original_typhoon2_3b,1,scb10x/llama3.2-typhoon2-3b-instruct,3212749824,1.77(4bit)/6.43(bf16),2.251,10.61,RAG35.0/noRAG16.2(n40 judge),TODO-lm-eval,"baseline local 4-bit RTX3050; in-domain eval n40 Gemini-judge",2026-05-29
P3_vocab_trimmed_aggressive,3,artifacts/vocab_trimmed,2956760064,5.92(bf16),TODO,TODO,TODO-test-set,TODO-lm-eval,"aggressive vocab trim 128256->44926 (-65.1%); roundtrip+generate ok; eval at Phase7",2026-05-31
P4_pruned_moderate,4,artifacts/pruned_moderate,2554100000,5.11(bf16),~5.9(GPU+sysmem),2.7s/fwd,val-ppl=13.2(pre-recovery),TODO-lm-eval,"ShortGPT layer prune 28->24 (drop 4: knee from sweep); base-ppl 5.77; 28->20 broke model (ppl 237); local RTX3050",2026-05-31
P4_pruned_aggressive,4,artifacts/pruned_aggressive,2101100000,4.20(bf16),~5.0(GPU+sysmem),TODO,val-ppl=18.6(pre-recovery),TODO-lm-eval,"layer 28->24 + FFN 8192->6144 (-25%, Wanda-style act importance); ppl 5.77->13.5->18.6; probe partly coherent",2026-05-31
P5_recovered_moderate,5,artifacts/pruned_moderate_recovered,2554100000,5.38(bf16),2.4(QLoRA train peak),TODO,val-ppl=7.59(recovered from 14.14),TODO-lm-eval,"QLoRA rank16 2ep on pruned_moderate; merge on bf16 base (NOT 4bit); ppl 14.14->7.59; local RTX3050",2026-05-31
P6_gguf_Q4_K_M,6,artifacts/gguf/recovered-Q4_K_M.gguf,2554100000,1.528(Q4_K_M),~1.9(CPU RAM est),23.5(CPU tg),domain-ok-probe,TODO-lm-eval,"GGUF via llama.cpp b9442; patched convert for trimmed tokenizer (llama-bpe); CPU 8thr no GPU; also Q8_0 2.67GB/14.9tps Q5_K_M 1.79GB f16 5.02GB",2026-05-31
B3_full_pipeline_eval,7,artifacts/gguf/recovered-Q4_K_M.gguf,2554100000,1.528(Q4_K_M),~1.9(CPU),23.5(CPU tg),RAG47.5/noRAG41.2(n40 judge),OOD-regressed(math17x23=411 code-vague),"B3 vs B1: in-domain +35.7% rel; OOD lost=specialization; RAG over 361 chunks e5-small+faiss; see REPORT.md",2026-05-31
